An;Mois;Jour;Cat
1338;NA;NA;C3
1342;NA;NA;C3
1345;NA;NA;C3
1346;12;NA;C3
1350;NA;NA;C3
1353;5;NA;C4
1356;12;24;C3
1358;11;NA;C3
1362;10;NA;C3
1378;NA;NA;C3
1379;NA;NA;C3
1398;10;NA;C4
1399;NA;NA;C3
1408;2;14;C3
1430;9;NA;C3
1433;11;30;C4
1456;11;NA;C3
1471;9;23;C4
1476;10;NA;C3
1489;3;NA;C3
1511;2;NA;C3
1515;1;NA;C3
1529;5;NA;C3
1529;11;NA;C4
1530;10;9;C3
1542;11;NA;C3
1544;11;11;C3
1548;11;15;C4
1551;9;NA;C3
1561;NA;NA;C3
1570;12;6;C4
1573;10;17;C4
1578;11;23;C3
1586;9;NA;C3
1587;11;NA;C3
1591;NA;NA;C3
1633;9;17;C3
1636;10;24;C3
1637;10;24;C3
1647;11;7;C3
1651;9;8;C3
1651;11;29;C3
1657;9;22;C3
1674;11;16;C4
1679;9;30;C3
1685;10;NA;C3
1689;10;22;C3
1694;11;25;C4
1697;6;25;C3
1702;10;18;C3
1705;11;3;C4
1706;1;2;C4
1708;10;3;C3
1709;1;19;C3
1709;6;12;C3
1710;11;6;C3
1711;2;27;C4
1726;1;22;C3
1745;11;4;C4
1747;9;30;C3
1755;11;30;C4
1756;1;18;C3
1758;7;21;C3
1760;11;16;C3
1763;12;14;C3
1765;10;24;C3
1774;4;9;C3
1776;2;11;C3
1790;11;12;C3
1791;11;21;C3
1801;11;10;C4
1802;3;7;C3
1808;11;2;C3
1810;5;26;C4
1811;5;20;C3
1827;10;11;C4
1840;10;3;C4
1841;2;19;C3
1841;10;27;C3
1841;12;4;C3
1842;9;29;C3
1843;11;3;C4
1856;5;31;C4
1872;10;21;C4
1872;12;4;C3
1882;10;19;C4
1886;10;28;C4
1886;11;11;C4
1888;1;1;C3
1890;9;24;C3
1896;11;2;C3
1900;9;30;C3
1907;10;18;C4
1907;11;10;C4
1910;12;2;C4
1917;5;22;C3
1919;1;7;C3
1923;12;2;C3
1924;10;6;C3
1926;12;1;C3
1928;10;29;C3
1933;11;21;C3
1935;11;14;C4
1935;12;30;C4
1937;3;24;C3
1951;11;22;C4
1954;12;11;C3
1955;1;22;C4
1958;12;22;C3
1960;10;8;C4
1963;11;7;C3
1976;11;11;C3
1993;10;10;C4
1994;1;8;C4
